Date,Open,High,Low,Close,Volume,Adj Close
20140423  02:00:00,1470.0,1470.5,1468.75,1470.5,263,1469.45
20140423  03:00:00,1470.25,1472.0,1469.5,1471.5,932,1470.35
20140423  04:00:00,1471.0,1473.75,1470.75,1472.75,437,1472.425
20140423  05:00:00,1472.75,1474.0,1469.25,1470.75,431,1471.6
20140423  06:30:00,1471.75,1482.25,1469.5,1479.0,2899,1476.275
20140423  07:00:00,1479.0,1487.25,1472.25,1478.5,7304,1480.45
20140423  08:00:00,1478.25,1482.0,1475.75,1477.0,2529,1478.7
20140423  09:00:00,1477.0,1480.5,1474.75,1477.0,1693,1477.375
20140423  10:00:00,1477.0,1477.0,1466.75,1468.25,3892,1471.35
20140423  11:00:00,1468.0,1469.75,1467.0,1469.0,2476,1468.375
20140423  17:00:00,1468.5,1470.5,1467.75,1469.75,370,1469.525
20140423  18:00:00,1469.5,1470.75,1464.0,1465.0,470,1466.05
20140423  19:00:00,1464.75,1465.5,1464.0,1465.0,165,1464.575
20140423  20:00:00,1465.5,1469.0,1464.5,1465.5,86,1466.6
20140423  21:00:00,1465.5,1467.25,1465.5,1467.25,24,1466.175
20140423  22:00:00,1467.0,1467.0,1466.0,1466.5,18,1466.65
20140423  23:00:00,1466.25,1468.5,1466.25,1468.5,30,1467.325
20140424  00:00:00,1468.75,1472.75,1468.5,1469.0,175,1470.85
20140424  01:00:00,1469.5,1469.5,1466.25,1466.5,99,1467.125
20140424  02:00:00,1466.25,1469.25,1466.25,1469.25,136,1467.5
20140424  03:00:00,1469.0,1469.75,1468.0,1468.25,88,1469.15
20140424  04:00:00,1467.25,1468.25,1466.25,1468.25,184,1467.35
20140424  05:00:00,1468.5,1474.0,1466.5,1472.5,970,1470.6
20140424  06:30:00,1472.0,1474.0,1466.0,1468.5,2152,1469.225
20140424  07:00:00,1468.5,1471.5,1466.75,1468.75,1862,1468.925
20140424  08:00:00,1469.0,1471.25,1464.0,1465.0,2634,1467.775
20140424  09:00:00,1465.25,1467.75,1465.0,1465.75,938,1466.5
20140424  10:00:00,1465.75,1469.5,1465.75,1468.75,1087,1467.575
20140424  11:00:00,1469.0,1474.0,1468.5,1473.0,1535,1470.825
20140424  17:00:00,1472.0,1475.75,1472.0,1475.0,409,1473.925
20140424  18:00:00,1475.0,1476.75,1474.0,1475.5,232,1475.625
20140424  19:00:00,1475.5,1478.0,1475.5,1478.0,206,1477.225
20140424  20:00:00,1478.0,1479.25,1473.0,1475.5,162,1477.325
20140424  21:00:00,1475.5,1476.0,1475.25,1475.5,18,1475.625
20140424  22:00:00,1476.75,1480.0,1476.75,1479.0,56,1479.225
20140424  23:00:00,1479.5,1479.75,1475.25,1475.75,117,1477.425
20140425  00:00:00,1475.5,1477.75,1475.0,1477.0,35,1476.225
20140425  01:00:00,1476.25,1478.5,1475.0,1477.75,55,1477.025
20140425  02:00:00,1478.75,1478.75,1476.25,1476.5,213,1477.9
20140425  03:00:00,1476.25,1478.0,1474.75,1478.0,244,1475.65
20140425  04:00:00,1477.25,1479.0,1477.25,1478.25,107,1478.025
20140425  05:00:00,1478.5,1484.0,1478.5,1480.75,512,1481.55
20140425  06:30:00,1480.5,1483.0,1476.0,1479.25,3999,1479.375
20140425  07:00:00,1479.5,1490.5,1479.0,1484.75,3991,1484.225
20140425  08:00:00,1484.5,1493.75,1484.0,1489.5,3318,1488.825
20140425  09:00:00,1489.5,1493.5,1487.75,1493.0,1817,1491.45
20140425  10:00:00,1493.0,1495.75,1492.0,1495.5,3006,1493.8
20140425  11:00:00,1495.75,1500.0,1492.5,1499.25,4584,1497.075
20140427  17:00:00,1502.25,1515.75,1500.0,1512.0,854,1506.525
20140427  18:00:00,1511.25,1516.0,1511.25,1515.25,48,1514.575
20140427  19:00:00,1515.5,1517.0,1515.25,1517.0,68,1516.0
20140427  20:00:00,1516.5,1517.5,1515.75,1516.25,52,1516.725
